team,season,number,name
Atletico de Madrid,2024-25,1,Juan Musso
Atletico de Madrid,2024-25,2,Jose Maria Gimenez
Atletico de Madrid,2024-25,3,Cesar Azpilicueta
Atletico de Madrid,2024-25,4,Conor Gallagher
Atletico de Madrid,2024-25,5,Rodrigo De Paul
Atletico de Madrid,2024-25,6,Koke
Atletico de Madrid,2024-25,7,Antoine Griezmann
Atletico de Madrid,2024-25,8,Pablo Barrios
Atletico de Madrid,2024-25,9,Alexander Sorloth
Atletico de Madrid,2024-25,10,Angel Correa
Atletico de Madrid,2024-25,11,Thomas Lemar
Atletico de Madrid,2024-25,12,Samuel Lino
Atletico de Madrid,2024-25,13,Jan Oblak
Atletico de Madrid,2024-25,14,Marcos Llorente
Atletico de Madrid,2024-25,15,Clement Lenglet
Atletico de Madrid,2024-25,16,Nahuel Molina
Atletico de Madrid,2024-25,17,Rodrigo Riquelme
Atletico de Madrid,2024-25,19,Julian Alvarez
Atletico de Madrid,2024-25,20,Axel Witsel
Atletico de Madrid,2024-25,21,Javi Galan
Atletico de Madrid,2024-25,22,Giuliano Simeone
Atletico de Madrid,2024-25,23,Reinildo Mandava
Atletico de Madrid,2024-25,24,Robin Le Normand
Atletico de Madrid,2024-25,31,Aitor Gomis
Atletico de Madrid,2024-25,33,Alejandro Iturbe
